date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2025-04-04,2025-04,福岡,3,2025-04-042203,7,23.44,skip_rate_ng,0,0,0,0,1850,315,0,0,0,,,,,展示後38%未満:NG(23.44%)
2025-04-04,2025-04,蒲郡,2,2025-04-040702,8,27.14,skip_rate_ng,0,0,0,0,46610,562,0,1,1,,,,,展示後38%未満:NG(27.14%)
2025-04-04,2025-04,蒲郡,3,2025-04-040703,9,37.16,skip_rate_ng,0,0,0,0,7510,465,0,0,1,,,,,展示後38%未満:NG(37.16%)
2025-04-04,2025-04,尼崎,2,2025-04-041302,10,26.32,skip_rate_ng,0,0,0,0,1810,215,0,0,0,,,,,展示後38%未満:NG(26.32%)
2025-04-05,2025-04,桐生,2,2025-04-050102,1,31.24,skip_missing_exhibition,0,0,0,0,3020,453,0,0,0,,,,,展示/1周6艇未満
2025-04-05,2025-04,蒲郡,5,2025-04-050705,2,28.54,skip_rate_ng,0,0,0,0,15640,165,0,1,1,,,,,展示後38%未満:NG(28.54%)
2025-04-05,2025-04,平和島,2,2025-04-050402,3,37.83,skip_rate_ng,0,0,0,0,11430,341,0,1,1,,,,,展示後38%未満:NG(37.83%)
2025-04-05,2025-04,三国,7,2025-04-051007,4,32.14,skip_rate_ng,0,0,0,0,9480,416,0,0,1,,,,,展示後38%未満:NG(32.14%)
2025-04-05,2025-04,尼崎,3,2025-04-051303,5,25.47,skip_rate_ng,0,0,0,0,23150,354,0,1,1,,,,,展示後38%未満:NG(25.47%)
2025-04-05,2025-04,福岡,3,2025-04-052203,6,32.94,skip_rate_ng,0,0,0,0,18020,243,0,1,1,,,,,展示後38%未満:NG(32.94%)
2025-04-05,2025-04,蒲郡,3,2025-04-050703,7,32.44,skip_rate_ng,0,0,0,0,1730,123,0,0,0,,,,,展示後38%未満:NG(32.44%)
2025-04-05,2025-04,若松,2,2025-04-052002,8,40.0,core,1,12,1200,0,21600,231,0,1,1,"6,5","6,4",2.0,541 543 546 561 563 564 614 634 641 643 645 654,展示後40%以上:OK(40.00%)
2025-04-05,2025-04,若松,3,2025-04-052003,9,36.63,skip_rate_ng,0,0,0,0,11540,321,0,1,1,,,,,展示後38%未満:NG(36.63%)
2025-04-05,2025-04,唐津,8,2025-04-052308,10,35.92,skip_rate_ng,0,0,0,0,6030,123,0,0,1,,,,,展示後38%未満:NG(35.92%)
2025-04-06,2025-04,平和島,5,2025-04-060405,1,36.06,skip_rate_ng,0,0,0,0,2880,231,0,0,0,,,,,展示後38%未満:NG(36.06%)
2025-04-06,2025-04,唐津,4,2025-04-062304,2,26.94,skip_rate_ng,0,0,0,0,2680,134,0,0,0,,,,,展示後38%未満:NG(26.94%)
2025-04-06,2025-04,桐生,4,2025-04-060104,3,30.94,skip_missing_exhibition,0,0,0,0,38970,426,0,1,1,,,,,展示/1周6艇未満
2025-04-06,2025-04,平和島,3,2025-04-060403,4,30.84,skip_rate_ng,0,0,0,0,5130,645,0,0,1,,,,,展示後38%未満:NG(30.84%)
2025-04-06,2025-04,福岡,7,2025-04-062207,5,30.87,skip_rate_ng,0,0,0,0,1200,143,0,0,0,,,,,展示後38%未満:NG(30.87%)
2025-04-06,2025-04,若松,3,2025-04-062003,6,40.0,core,1,12,1200,0,2960,254,0,0,0,"6,5","1,4",3.0,514 516 541 542 546 614 615 621 624 641 642 645,展示後40%以上:OK(40.00%)
2025-04-06,2025-04,桐生,3,2025-04-060103,7,30.04,skip_missing_exhibition,0,0,0,0,2290,241,0,0,0,,,,,展示/1周6艇未満
2025-04-06,2025-04,尼崎,1,2025-04-061301,8,30.66,skip_rate_ng,0,0,0,0,5750,123,0,0,1,,,,,展示後38%未満:NG(30.66%)
2025-04-06,2025-04,福岡,6,2025-04-062206,9,32.94,skip_rate_ng,0,0,0,0,3570,123,0,0,0,,,,,展示後38%未満:NG(32.94%)
2025-04-06,2025-04,下関,8,2025-04-061908,10,28.52,skip_rate_ng,0,0,0,0,6450,425,0,0,1,,,,,展示後38%未満:NG(28.52%)
2025-04-07,2025-04,下関,6,2025-04-071906,1,35.11,skip_rate_ng,0,0,0,0,19330,324,0,1,1,,,,,展示後38%未満:NG(35.11%)
2025-04-07,2025-04,大村,1,2025-04-072401,2,31.91,skip_rate_ng,0,0,0,0,860,125,0,0,0,,,,,展示後38%未満:NG(31.91%)
2025-04-07,2025-04,平和島,2,2025-04-070402,3,32.64,skip_rate_ng,0,0,0,0,2650,142,0,0,0,,,,,展示後38%未満:NG(32.64%)
2025-04-07,2025-04,丸亀,3,2025-04-071503,4,32.94,skip_rate_ng,0,0,0,0,17640,365,0,1,1,,,,,展示後38%未満:NG(32.94%)
2025-04-07,2025-04,平和島,1,2025-04-070401,5,40.0,core,1,12,1200,2080,2080,561,1,0,0,"5,6","1,2",3.0,514 516 521 524 526 541 542 561 562 614 615 621,展示後40%以上:OK(40.00%)
2025-04-07,2025-04,福岡,4,2025-04-072204,6,31.74,skip_rate_ng,0,0,0,0,3120,152,0,0,0,,,,,展示後38%未満:NG(31.74%)
2025-04-07,2025-04,福岡,6,2025-04-072206,7,33.85,skip_rate_ng,0,0,0,0,3810,413,0,0,0,,,,,展示後38%未満:NG(33.85%)
2025-04-07,2025-04,丸亀,1,2025-04-071501,8,23.94,skip_rate_ng,0,0,0,0,3550,346,0,0,0,,,,,展示後38%未満:NG(23.94%)
2025-04-07,2025-04,唐津,8,2025-04-072308,9,30.14,skip_rate_ng,0,0,0,0,12260,215,0,1,1,,,,,展示後38%未満:NG(30.14%)
2025-04-07,2025-04,蒲郡,5,2025-04-070705,10,23.09,skip_rate_ng,0,0,0,0,6570,156,0,0,1,,,,,展示後38%未満:NG(23.09%)
2025-04-08,2025-04,江戸川,2,2025-04-080302,1,31.94,skip_missing_exhibition,0,0,0,0,1810,123,0,0,0,,,,,展示/1周6艇未満
2025-04-08,2025-04,福岡,5,2025-04-082205,2,28.94,skip_rate_ng,0,0,0,0,11730,435,0,1,1,,,,,展示後38%未満:NG(28.94%)
2025-04-08,2025-04,尼崎,5,2025-04-081305,3,24.19,skip_rate_ng,0,0,0,0,4840,126,0,0,0,,,,,展示後38%未満:NG(24.19%)
2025-04-08,2025-04,福岡,7,2025-04-082207,4,32.34,skip_rate_ng,0,0,0,0,1980,156,0,0,0,,,,,展示後38%未満:NG(32.34%)
2025-04-08,2025-04,尼崎,7,2025-04-081307,5,31.04,skip_rate_ng,0,0,0,0,7770,521,0,0,1,,,,,展示後38%未満:NG(31.04%)
2025-04-08,2025-04,江戸川,3,2025-04-080303,6,29.87,skip_missing_exhibition,0,0,0,0,1740,132,0,0,0,,,,,展示/1周6艇未満
2025-04-08,2025-04,下関,3,2025-04-081903,7,28.14,skip_missing_exhibition,0,0,0,0,820,315,0,0,0,,,,,展示/1周6艇未満
2025-04-08,2025-04,丸亀,7,2025-04-081507,8,32.84,skip_rate_ng,0,0,0,0,10980,324,0,1,1,,,,,展示後38%未満:NG(32.84%)
2025-04-08,2025-04,鳴門,5,2025-04-081405,9,24.69,skip_rate_ng,0,0,0,0,2020,415,0,0,0,,,,,展示後38%未満:NG(24.69%)
2025-04-08,2025-04,鳴門,7,2025-04-081407,10,31.54,skip_rate_ng,0,0,0,0,11240,253,0,1,1,,,,,展示後38%未満:NG(31.54%)
2025-04-09,2025-04,江戸川,3,2025-04-090303,1,34.2,skip_missing_exhibition,0,0,0,0,2010,162,0,0,0,,,,,展示/1周6艇未満
2025-04-09,2025-04,大村,1,2025-04-092401,2,32.67,skip_rate_ng,0,0,0,0,7520,231,0,0,1,,,,,展示後38%未満:NG(32.67%)
2025-04-09,2025-04,江戸川,8,2025-04-090308,3,32.94,skip_missing_exhibition,0,0,0,0,11480,436,0,1,1,,,,,展示/1周6艇未満
2025-04-09,2025-04,大村,3,2025-04-092403,4,25.12,skip_rate_ng,0,0,0,0,1220,162,0,0,0,,,,,展示後38%未満:NG(25.12%)
2025-04-09,2025-04,尼崎,8,2025-04-091308,5,32.94,skip_rate_ng,0,0,0,0,17490,421,0,1,1,,,,,展示後38%未満:NG(32.94%)
2025-04-09,2025-04,尼崎,1,2025-04-091301,6,25.24,skip_rate_ng,0,0,0,0,28570,421,0,1,1,,,,,展示後38%未満:NG(25.24%)
2025-04-09,2025-04,多摩川,5,2025-04-090505,7,30.24,skip_rate_ng,0,0,0,0,1990,415,0,0,0,,,,,展示後38%未満:NG(30.24%)
2025-04-09,2025-04,多摩川,8,2025-04-090508,8,31.84,skip_rate_ng,0,0,0,0,4230,456,0,0,0,,,,,展示後38%未満:NG(31.84%)
2025-04-09,2025-04,鳴門,7,2025-04-091407,9,32.94,skip_rate_ng,0,0,0,0,29950,146,0,1,1,,,,,展示後38%未満:NG(32.94%)
2025-04-09,2025-04,鳴門,9,2025-04-091409,10,26.39,skip_rate_ng,0,0,0,0,7530,316,0,0,1,,,,,展示後38%未満:NG(26.39%)
2025-04-10,2025-04,江戸川,7,2025-04-100307,1,32.14,skip_missing_exhibition,0,0,0,0,3140,421,0,0,0,,,,,展示/1周6艇未満
2025-04-10,2025-04,丸亀,5,2025-04-101505,2,35.05,skip_rate_ng,0,0,0,0,131600,256,0,1,1,,,,,展示後38%未満:NG(35.05%)
