mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each
preview,all,A,20947,24.0,7107,0.33928486179405165,772,0.036854919558886715,0.22363847045191193,1777,0.08483315033178976,0.28103748220781277,4810.365836499226,2200,237130,0.6800351283397782
preview,all,B,20947,18.0,4854,0.23172769370315557,583,0.0278321478015945,0.16888760139049827,1280,0.06110660237742875,0.20243555274395067,5238.51462711166,2310.0,237130,0.6743938405393506
preview,all,C,20947,12.0,3798,0.18131474674177686,387,0.018475199312550723,0.11210892236384705,874,0.04172435193583807,0.13822552585797881,4677.132701421801,2060.0,237130,0.7066942760299805
preview,all,D,20947,9.0,3148,0.15028405022198882,287,0.013701246001814103,0.08314020857473928,720,0.03437246383730367,0.11386999841847224,4427.789072426937,2140.0,237130,0.739362305925537
preview,skip_excluded,A,14614,24.0,5103,0.34918571233064183,527,0.0360613110715752,0.2216148023549201,1258,0.08608183933214726,0.288003663003663,4608.736037624926,2220,222920,0.6705436567674833
preview,skip_excluded,B,14614,18.0,3504,0.23977008348159298,410,0.028055289448474068,0.1724137931034483,923,0.06315861502668674,0.2113095238095238,5046.846461187215,2320.0,222920,0.6722682207320225
preview,skip_excluded,C,14614,12.0,2708,0.1853017654304092,268,0.018338579444368414,0.11269974768713205,624,0.042698781989872724,0.14285714285714285,4493.005908419498,2050.0,222920,0.6938016057661603
preview,skip_excluded,D,14614,9.0,2249,0.15389352675516627,193,0.013206514301354865,0.08116063919259882,507,0.03469276036677159,0.11607142857142858,4242.627834593152,2140,222920,0.7254588446390827
preview,chaos_top3_per_day,A,429,24.0,121,0.28205128205128205,25,0.05827505827505827,0.21551724137931033,59,0.13752913752913754,0.2757009345794392,6384.545454545455,4740,38410,0.7503205128205128
preview,chaos_top3_per_day,B,429,18.0,79,0.18414918414918416,19,0.04428904428904429,0.16379310344827586,45,0.1048951048951049,0.2102803738317757,7198.607594936709,5590,38410,0.7364542864542865
preview,chaos_top3_per_day,C,429,12.0,52,0.12121212121212122,13,0.030303030303030304,0.11206896551724138,27,0.06293706293706294,0.1261682242990654,6724.807692307692,5380.0,38410,0.6792735042735043
preview,chaos_top3_per_day,D,429,9.0,53,0.12354312354312354,12,0.027972027972027972,0.10344827586206896,23,0.053613053613053616,0.10747663551401869,6379.245283018868,4280,38410,0.8756798756798757
preview,chaos_top5_per_day,A,715,24.0,197,0.2755244755244755,31,0.043356643356643354,0.1901840490797546,81,0.11328671328671329,0.24545454545454545,5780.558375634518,4000,38410,0.6636188811188811
preview,chaos_top5_per_day,B,715,18.0,128,0.17902097902097902,25,0.03496503496503497,0.15337423312883436,59,0.08251748251748252,0.1787878787878788,6523.359375,4510.0,38410,0.6487878787878788
preview,chaos_top5_per_day,C,715,12.0,91,0.12727272727272726,17,0.023776223776223775,0.10429447852760736,39,0.05454545454545454,0.11818181818181818,6056.153846153846,4000,38410,0.6423193473193474
preview,chaos_top5_per_day,D,715,9.0,95,0.13286713286713286,14,0.019580419580419582,0.08588957055214724,35,0.04895104895104895,0.10606060606060606,5495.368421052632,3800,38410,0.8112820512820513
preview,chaos_top10_per_day,A,1430,24.0,402,0.2811188811188811,52,0.03636363636363636,0.1716171617161716,142,0.0993006993006993,0.2294022617124394,5299.850746268657,3235.0,38410,0.6207867132867133
preview,chaos_top10_per_day,B,1430,18.0,269,0.18811188811188811,43,0.03006993006993007,0.1419141914191419,107,0.07482517482517483,0.172859450726979,5972.936802973978,3770,38410,0.6242113442113442
preview,chaos_top10_per_day,C,1430,12.0,192,0.13426573426573427,26,0.01818181818181818,0.0858085808580858,69,0.04825174825174825,0.11147011308562198,5096.510416666667,3275.0,38410,0.5702389277389277
preview,chaos_top10_per_day,D,1430,9.0,183,0.12797202797202797,21,0.014685314685314685,0.06930693069306931,57,0.03986013986013986,0.09208400646203554,4734.918032786885,3210,38410,0.6732634032634033
preview,existing_top10_per_day,A,450,24.0,121,0.2688888888888889,19,0.042222222222222223,0.14960629921259844,51,0.11333333333333333,0.21610169491525424,6327.024793388429,3880,37890,0.7088611111111112
preview,existing_top10_per_day,B,450,18.0,81,0.18,16,0.035555555555555556,0.12598425196850394,38,0.08444444444444445,0.16101694915254236,7117.407407407408,4790,37890,0.7117407407407408
preview,existing_top10_per_day,C,450,12.0,63,0.14,16,0.035555555555555556,0.12598425196850394,29,0.06444444444444444,0.1228813559322034,7835.555555555556,4790,37890,0.9141481481481482
preview,existing_top10_per_day,D,450,9.0,49,0.10888888888888888,9,0.02,0.07086614173228346,18,0.04,0.07627118644067797,6436.122448979592,3800,32310,0.7786913580246914
