condition_type,condition_name,feature,value,n,manshu_n,manshu_rate,diff_vs_baseline,lift,ci95_low,ci95_high,p_value,mean_payout,median_payout,max_payout,train_n,train_rate,valid_n,valid_rate,reproducibility,priority,notes
single,jcd = 12,jcd,12,33,5,0.15151515151515152,-0.011605415860735019,0.9288537549407114,0.06650359257960958,0.3092021313846048,0.8568074640921595,5399.393939393939,2310,29690,0,0.0,33,0.15151515151515152,再現あり,参考,
single,race_no = 1,race_no,1,81,10,0.12345679012345678,-0.039663777252429755,0.7568438003220611,0.06846042262503366,0.21255266529410033,0.3339622132164244,6931.234567901234,2200,82350,49,0.08163265306122448,32,0.1875,再現あり,参考,
single,race_no = 2,race_no,2,83,15,0.18072289156626506,0.01760232419037852,1.107909900471451,0.11269266892236789,0.27700074989994766,0.6642641133520129,9085.903614457831,3460,136000,48,0.25,35,0.08571428571428572,検証で低下,参考,
single,race_no = 3,race_no,3,83,16,0.1927710843373494,0.02965051696146287,1.181770560502881,0.12228799170691444,0.29043586414097416,0.4647091054998773,7682.891566265061,3070,73140,49,0.1836734693877551,34,0.20588235294117646,再現あり,中,
single,race_no = 4,race_no,4,83,10,0.12048192771084337,-0.042638639665043165,0.7386066003143006,0.06677618440538881,0.2077650492890618,0.2930875804345625,7096.385542168675,2390,73460,48,0.125,35,0.11428571428571428,検証で低下,参考,
single,race_no = 5,race_no,5,83,17,0.20481927710843373,0.04169870973254719,1.255631220534311,0.13199762324683,0.30375666962663156,0.3038577018127613,8007.590361445783,2520,68040,48,0.20833333333333334,35,0.2,再現あり,中,
single,race_no = 6,race_no,6,83,17,0.20481927710843373,0.04169870973254719,1.255631220534311,0.13199762324683,0.30375666962663156,0.3038577018127613,6489.759036144578,3120,62050,48,0.22916666666666666,35,0.17142857142857143,再現あり,中,
single,race_no = 7,race_no,7,83,10,0.12048192771084337,-0.042638639665043165,0.7386066003143006,0.06677618440538881,0.2077650492890618,0.2930875804345625,5158.192771084337,1730,43380,48,0.14583333333333334,35,0.08571428571428572,検証で低下,参考,
single,race_no = 8,race_no,8,83,16,0.1927710843373494,0.02965051696146287,1.181770560502881,0.12228799170691444,0.29043586414097416,0.4647091054998773,7211.566265060241,2550,61190,49,0.16326530612244897,34,0.23529411764705882,再現あり,中,
single,race_no = 9,race_no,9,81,12,0.14814814814814814,-0.014972419227738398,0.9082125603864734,0.08682622816663449,0.24133354251190053,0.7153272612657067,5860.37037037037,1600,110870,46,0.15217391304347827,35,0.14285714285714285,検証で低下,参考,
single,race_no = 10,race_no,10,81,13,0.16049382716049382,-0.00262674021539272,0.9838969404186794,0.09626063301383893,0.2554724790443966,0.9489826809832973,9638.765432098766,1990,134480,47,0.14893617021276595,34,0.17647058823529413,再現あり,参考,
single,race_no = 11,race_no,11,80,8,0.1,-0.06312056737588653,0.6130434782608696,0.05154699917768554,0.18510878983397458,0.1265066640657757,4041.875,1640.0,45520,46,0.10869565217391304,34,0.08823529411764706,検証で低下,参考,
single,race_no = 12,race_no,12,83,17,0.20481927710843373,0.04169870973254719,1.255631220534311,0.13199762324683,0.30375666962663156,0.3038577018127613,9184.4578313253,1770,222920,49,0.2857142857142857,34,0.08823529411764706,検証で低下,中,
single,grade = 一般,grade,一般,822,141,0.17153284671532848,0.008412279339441942,1.0515709298635354,0.14730442816056652,0.19881715253965496,0.5139010795083117,7478.187347931874,2310.0,136000,492,0.18089430894308944,330,0.15757575757575756,再現あり,参考,
single,grade = G1,grade,G1,95,13,0.1368421052631579,-0.026278462112728634,0.8389016018306636,0.08174716099796558,0.2201662034153989,0.4881666360599499,4971.263157894737,1890,58100,60,0.16666666666666666,35,0.08571428571428572,検証で低下,参考,
single,grade = G3,grade,G3,70,7,0.1,-0.06312056737588653,0.6130434782608696,0.04928867510614622,0.19233122478768055,0.15290789844770014,7056.571428571428,2460.0,222920,23,0.043478260869565216,47,0.1276595744680851,検証で低下,参考,
single,day_label = 最終日,day_label,最終日,197,30,0.15228426395939088,-0.010836303416495663,0.9335687486206136,0.10880060721400828,0.20906979413710622,0.680595740912342,6655.228426395939,2110,86830,114,0.17543859649122806,83,0.12048192771084337,検証で低下,参考,
single,day_label = ４日目,day_label,４日目,153,26,0.16993464052287582,0.006814073146989286,1.041773231031543,0.11868668726157514,0.23735150668696917,0.8195515905073818,7723.071895424837,2080,222920,69,0.15942028985507245,84,0.17857142857142858,再現あり,参考,
single,day_label = ２日目,day_label,２日目,178,33,0.1853932584269663,0.022272691051079763,1.1365412799218368,0.1351653296223386,0.24891400095988245,0.4212463892477558,7243.033707865168,2350.0,100360,119,0.17647058823529413,59,0.2033898305084746,再現あり,参考,
single,day_label = ３日目,day_label,３日目,178,25,0.1404494382022472,-0.022671129173639337,0.8610161211529067,0.09697567792736139,0.19911498559517693,0.4129871237314242,7150.730337078651,2325.0,110870,108,0.16666666666666666,70,0.1,検証で低下,参考,
single,day_label = 初日,day_label,初日,163,32,0.19631901840490798,0.03319845102902144,1.2035209389170445,0.14263359159920427,0.2639892171007842,0.2513135147417831,7455.337423312883,2700,126040,106,0.19811320754716982,57,0.19298245614035087,再現あり,中,
single,day_label = ５日目,day_label,５日目,118,15,0.1271186440677966,-0.036001923308089934,0.7792925571112748,0.07857021672279302,0.1991805679024909,0.28983861803299193,7146.440677966101,2085.0,136000,59,0.15254237288135594,59,0.1016949152542373,検証で低下,参考,
single,time_zone = day,time_zone,day,414,69,0.16666666666666666,0.003546099290780119,1.0217391304347825,0.13386593724904142,0.2055966725054684,0.8451711180218486,6691.932367149759,2130.0,134480,245,0.18775510204081633,169,0.13609467455621302,検証で低下,参考,
single,time_zone = evening,time_zone,evening,186,28,0.15053763440860216,-0.012582932967284383,0.9228611500701261,0.1062508949159088,0.2089676873126439,0.6423149722513248,7898.870967741936,2250.0,222920,101,0.16831683168316833,85,0.12941176470588237,検証で低下,参考,
single,time_zone = night,time_zone,night,99,15,0.15151515151515152,-0.011605415860735019,0.9288537549407114,0.09402242321177301,0.2350428577640189,0.754637338830463,7562.828282828283,2350,110870,54,0.12962962962962962,45,0.17777777777777778,再現あり,参考,
single,time_zone = midnight,time_zone,midnight,46,5,0.10869565217391304,-0.0544249152019735,0.6663516068052929,0.047330760827426877,0.23038103012631456,0.31776641033969244,5234.782608695652,1595.0,41920,23,0.13043478260869565,23,0.08695652173913043,検証で低下,参考,
single,time_zone = morning,time_zone,morning,242,44,0.18181818181818182,0.018697614442295285,1.1146245059288538,0.1383206387548281,0.23525974796572693,0.4311404081308532,7785.661157024793,2540.0,136000,152,0.17763157894736842,90,0.18888888888888888,再現あり,参考,
single,wind_speed_bucket = 4-5m,wind_speed_bucket,4-5m,257,40,0.1556420233463035,-0.007478544029583034,0.9541532735577736,0.11642817349129467,0.20499908351065596,0.7455690770044339,7779.922178988327,2010,134480,133,0.17293233082706766,124,0.13709677419354838,検証で低下,参考,
single,wind_speed_bucket = 2-3m,wind_speed_bucket,2-3m,553,83,0.15009041591320071,-0.013030151462685824,0.9201195062504912,0.12274075893503132,0.18226806224499542,0.4069189474051913,6998.643761301989,2350,222920,331,0.15709969788519637,222,0.13963963963963963,検証で低下,参考,
single,wind_speed_bucket = 0-1m,wind_speed_bucket,0-1m,145,29,0.2,0.03687943262411347,1.2260869565217392,0.14301624652479306,0.2724697466384086,0.22938716722827035,6631.172413793103,2190,110870,95,0.21052631578947367,50,0.18,再現あり,中,
single,wind_speed_bucket = 6m+,wind_speed_bucket,6m+,32,9,0.28125,0.11812943262411346,1.7241847826086956,0.15564406845647866,0.4537483693811179,0.07051007913031615,8815.3125,3445.0,53650,16,0.3125,16,0.25,再現あり,中,
single,wave_bucket = 2-4cm,wave_bucket,2-4cm,566,94,0.16607773851590105,0.0029571711400145084,1.0181287448148715,0.13769000175770008,0.19896776418988954,0.8489847315885166,7669.363957597173,2285.0,222920,337,0.17210682492581603,229,0.1572052401746725,再現あり,参考,
single,wave_bucket = 0-1cm,wave_bucket,0-1cm,306,50,0.16339869281045752,0.0002781254345709805,1.0017050298380221,0.1261921362152147,0.20895201486068993,0.9894938614885793,6366.830065359477,2235.0,110870,191,0.18324607329842932,115,0.13043478260869565,検証で低下,参考,
single,wave_bucket = 5-7cm,wave_bucket,5-7cm,102,11,0.10784313725490197,-0.05527743012098457,0.6611253196930946,0.06129256592914277,0.1828609616063443,0.13079052799615543,6200.392156862745,2040.0,100360,41,0.0975609756097561,61,0.11475409836065574,検証で低下,参考,
single,lane1_class = B1,lane1_class,B1,334,70,0.20958083832335328,0.04646027094746674,1.2848216610257743,0.16935631388027086,0.25641008078515815,0.02155602604502338,8461.616766467067,3520.0,126040,204,0.21568627450980393,130,0.2,再現あり,中,
single,lane1_class = A1,lane1_class,A1,352,56,0.1590909090909091,-0.00402965828497745,0.975296442687747,0.12458989026118089,0.20095271071633264,0.8378669438821953,6723.409090909091,1575.0,222920,204,0.18137254901960784,148,0.12837837837837837,検証で低下,参考,
single,lane1_class = A2,lane1_class,A2,274,31,0.11313868613138686,-0.049981881244499676,0.693589336718502,0.0808585762362588,0.15611673631592923,0.02513982592124231,6288.284671532847,1990.0,136000,154,0.11038961038961038,120,0.11666666666666667,検証で低下,参考,
single,lane1_b_class = 1,lane1_b_class,1,361,74,0.20498614958448755,0.04186558220860101,1.2566542213657714,0.1665520506519037,0.2496329457958698,0.031326121803244567,8375.817174515236,3460,126040,217,0.2119815668202765,144,0.19444444444444445,再現あり,中,
