registration_no,name,latest_class,lane1_starts,lane1_wins,lane1_top3,lane1_out_top3,lane1_win_rate,lane1_miss_win_rate,lane1_top3_rate,lane1_out_top3_rate,win_rate_wilson_low,top3_rate_wilson_low,miss_win_rate_wilson_low,out_top3_rate_wilson_low,win_rate_wilson_high,top3_rate_wilson_high,teppan_score,tobi_score,manshu_when_lane1_missed,manshu_rate_when_lane1_missed,avg_payout_when_lane1_missed,avg_payout_when_lane1_out_top3,avg_national_win_rate,avg_local_win_rate,avg_st,avg_motor_quinella_rate,avg_exhibition_rank,main_venues
4910,中村泰平,A1,16,13,16,0,0.8125,0.1875,1.0,0.0,0.569906,0.806387,0.065915,0.0,0.934085,1.0,0.652674,0.042845,0,0.0,4686.7,,6.684,6.224,,33.339,1.812,常滑 / 芦屋 / 徳山
5136,濱野斗馬,A2,16,13,16,0,0.8125,0.1875,1.0,0.0,0.569906,0.806387,0.065915,0.0,0.934085,1.0,0.652674,0.042845,2,0.666667,29843.3,,6.371,5.992,,25.712,3.25,大村 / びわこ / 浜名湖
3995,重野哲之,A1,16,14,14,2,0.875,0.125,0.875,0.125,0.639767,0.639767,0.034977,0.034977,0.965023,0.965023,0.639767,0.034977,2,1.0,82380.0,82380.0,6.295,6.419,,34.312,2.0,浜名湖 / 平和島 / 若松
5229,吉川晴人,A2,16,13,15,1,0.8125,0.1875,0.9375,0.0625,0.569906,0.716707,0.065915,0.011119,0.934085,0.988881,0.621287,0.046736,1,0.333333,12050.0,9310.0,5.564,4.429,,23.176,2.062,びわこ / 唐津 / 鳴門
5212,西川拓利,B1,16,12,16,0,0.75,0.25,1.0,0.0,0.505012,0.806387,0.101819,0.0,0.898181,1.0,0.610493,0.066182,1,0.25,6785.0,,5.962,4.422,,27.852,2.688,福岡 / 浜名湖 / 江戸川
4445,宮地元輝,A1,16,13,14,2,0.8125,0.1875,0.875,0.125,0.569906,0.639767,0.065915,0.034977,0.934085,0.965023,0.594358,0.055086,2,0.666667,101170.0,81315.0,6.839,7.164,,33.883,1.875,唐津 / 尼崎 / 若松
5142,常住 蓮,A1,16,13,14,2,0.8125,0.1875,0.875,0.125,0.569906,0.639767,0.065915,0.034977,0.934085,0.965023,0.594358,0.055086,3,1.0,20300.0,25280.0,7.376,6.396,,30.554,1.875,唐津 / 福岡 / 芦屋
3643,米田隆弘,B1,16,12,15,1,0.75,0.25,0.9375,0.0625,0.505012,0.716707,0.101819,0.011119,0.898181,0.988881,0.579106,0.070074,1,0.25,14062.5,43960.0,5.123,5.422,,34.231,3.312,児島 / びわこ / 丸亀
3686,鳥居塚孝,A2,16,12,15,1,0.75,0.25,0.9375,0.0625,0.505012,0.716707,0.101819,0.011119,0.898181,0.988881,0.579106,0.070074,1,0.25,10800.0,35550.0,5.815,5.217,,30.741,3.25,江戸川 / びわこ / 多摩川
3912,川原正明,A2,16,12,15,1,0.75,0.25,0.9375,0.0625,0.505012,0.716707,0.101819,0.011119,0.898181,0.988881,0.579106,0.070074,3,0.75,20525.0,50230.0,5.338,4.746,,38.648,2.062,常滑 / 徳山 / 福岡
3956,横澤剛治,A1,16,12,15,1,0.75,0.25,0.9375,0.0625,0.505012,0.716707,0.101819,0.011119,0.898181,0.988881,0.579106,0.070074,1,0.25,6750.0,3400.0,6.185,6.299,,35.679,3.25,若松 / 常滑 / 多摩川
4444,桐生順平,A1,16,12,15,1,0.75,0.25,0.9375,0.0625,0.505012,0.716707,0.101819,0.011119,0.898181,0.988881,0.579106,0.070074,2,0.5,9475.0,16530.0,7.152,7.574,,36.347,3.0,尼崎 / 児島 / 戸田
4614,石倉洋行,A1,16,12,15,1,0.75,0.25,0.9375,0.0625,0.505012,0.716707,0.101819,0.011119,0.898181,0.988881,0.579106,0.070074,2,0.5,12955.0,31190.0,6.389,5.972,,35.448,1.688,江戸川 / 大村 / びわこ
4630,岩永雅人,A2,16,12,15,1,0.75,0.25,0.9375,0.0625,0.505012,0.716707,0.101819,0.011119,0.898181,0.988881,0.579106,0.070074,1,0.25,9047.5,5960.0,5.477,5.952,,30.418,1.562,宮島 / 丸亀 / 大村
4136,江夏 満,A1,16,11,16,0,0.6875,0.3125,1.0,0.0,0.444039,0.806387,0.141644,0.0,0.858356,1.0,0.570861,0.092069,1,0.2,14936.0,,6.826,6.204,,28.547,3.5,芦屋 / びわこ / 住之江
4297,山田哲也,A1,16,11,16,0,0.6875,0.3125,1.0,0.0,0.444039,0.806387,0.141644,0.0,0.858356,1.0,0.570861,0.092069,1,0.2,8160.0,,6.393,5.753,,32.321,2.562,多摩川 / 住之江 / 芦屋
5281,井上遥妃,A1,16,13,13,3,0.8125,0.1875,0.8125,0.1875,0.569906,0.569906,0.065915,0.065915,0.934085,0.934085,0.569906,0.065915,1,0.333333,10293.3,10293.3,6.471,3.866,,33.816,2.0,びわこ / 津 / 平和島
4403,木下大將,A2,16,12,14,2,0.75,0.25,0.875,0.125,0.505012,0.639767,0.101819,0.034977,0.898181,0.965023,0.552176,0.078424,2,0.5,11937.5,18755.0,6.102,4.729,,33.862,2.0,江戸川 / 浜名湖 / 唐津
5038,金田智博,A2,16,11,15,1,0.6875,0.3125,0.9375,0.0625,0.444039,0.716707,0.141644,0.011119,0.858356,0.988881,0.539473,0.09596,0,0.0,4176.0,3210.0,6.382,5.14,,25.697,2.188,三国 / 江戸川 / 福岡
3854,吉川元浩,A1,16,12,13,3,0.75,0.25,0.8125,0.1875,0.505012,0.569906,0.101819,0.065915,0.898181,0.934085,0.527725,0.089253,3,0.75,28787.5,35376.7,6.612,6.297,,27.569,2.625,尼崎 / 津 / 住之江
4518,大須賀友,A2,16,12,13,3,0.75,0.25,0.8125,0.1875,0.505012,0.569906,0.101819,0.065915,0.898181,0.934085,0.527725,0.089253,2,0.5,27310.0,33793.3,6.771,6.227,,38.147,1.438,蒲郡 / 芦屋 / 桐生
4401,小林 泰,A2,16,11,14,2,0.6875,0.3125,0.875,0.125,0.444039,0.639767,0.141644,0.034977,0.858356,0.965023,0.512544,0.104311,3,0.6,19936.0,39665.0,5.339,5.425,,23.242,3.5,丸亀 / 常滑 / 芦屋
4831,羽野直也,A1,16,11,14,2,0.6875,0.3125,0.875,0.125,0.444039,0.639767,0.141644,0.034977,0.858356,0.965023,0.512544,0.104311,1,0.2,7690.0,2275.0,6.964,7.156,,25.068,2.933,芦屋 / 徳山 / 唐津
5002,上田健太,A2,16,11,14,2,0.6875,0.3125,0.875,0.125,0.444039,0.639767,0.141644,0.034977,0.858356,0.965023,0.512544,0.104311,4,0.8,15090.0,11145.0,5.862,5.857,,39.323,1.688,びわこ / 三国 / 福岡
5095,小原聡将,A2,16,11,14,2,0.6875,0.3125,0.875,0.125,0.444039,0.639767,0.141644,0.034977,0.858356,0.965023,0.512544,0.104311,2,0.4,8720.0,18440.0,5.921,5.511,,26.418,2.312,江戸川 / 尼崎 / 三国
5029,中 亮太,A2,16,10,15,1,0.625,0.375,0.9375,0.0625,0.386406,0.716707,0.18481,0.011119,0.81519,0.988881,0.502012,0.124018,3,0.5,13596.7,20090.0,6.469,6.095,,28.842,1.875,住之江 / 戸田 / 浜名湖
4287,今井貴士,A1,16,9,16,0,0.5625,0.4375,1.0,0.0,0.331782,0.806387,0.230984,0.0,0.769016,1.0,0.497894,0.150139,2,0.285714,9072.9,,5.708,6.629,,28.36,3.938,若松 / 児島 / 丸亀
3822,平尾崇典,A1,16,10,14,2,0.625,0.375,0.875,0.125,0.386406,0.639767,0.18481,0.034977,0.81519,0.965023,0.475083,0.132368,5,0.833333,33466.7,27970.0,6.614,6.923,,29.374,2.125,江戸川 / 児島 / 下関
4718,北川太一,A2,16,10,14,2,0.625,0.375,0.875,0.125,0.386406,0.639767,0.18481,0.034977,0.81519,0.965023,0.475083,0.132368,2,0.333333,19251.7,26305.0,6.026,6.021,,38.951,3.0,びわこ / 唐津 / 若松
5081,篠原飛翔,A2,16,10,14,2,0.625,0.375,0.875,0.125,0.386406,0.639767,0.18481,0.034977,0.81519,0.965023,0.475083,0.132368,5,0.833333,24883.3,27415.0,5.979,5.276,,34.438,1.812,徳山 / 若松 / 蒲郡
5079,大石真央,B1,16,9,15,1,0.5625,0.4375,0.9375,0.0625,0.331782,0.716707,0.230984,0.011119,0.769016,0.988881,0.466506,0.154031,0,0.0,4045.7,4840.0,4.359,3.759,,40.239,2.625,浜名湖 / 児島 / 宮島
5213,湯淺紀香,A2,16,9,15,1,0.5625,0.4375,0.9375,0.0625,0.331782,0.716707,0.230984,0.011119,0.769016,0.988881,0.466506,0.154031,2,0.285714,10134.3,4270.0,5.114,4.246,,26.282,2.5,尼崎 / 鳴門 / 福岡
4623,中北将史,B1,16,10,13,3,0.625,0.375,0.8125,0.1875,0.386406,0.569906,0.18481,0.065915,0.81519,0.934085,0.450631,0.143197,1,0.166667,5321.7,3256.7,4.785,4.606,,35.096,3.375,津 / 戸田 / 三国
5139,大場恒季,A2,16,10,13,3,0.625,0.375,0.8125,0.1875,0.386406,0.569906,0.18481,0.065915,0.81519,0.934085,0.450631,0.143197,4,0.666667,26103.3,26013.3,6.374,4.038,,26.402,2.188,浜名湖 / 三国 / 宮島
4570,前田聖文,A1,16,9,14,2,0.5625,0.4375,0.875,0.125,0.331782,0.639767,0.230984,0.034977,0.769016,0.965023,0.439577,0.162381,3,0.428571,16674.3,16525.0,6.532,6.486,,35.359,2.562,芦屋 / 常滑 / 若松
3406,中里英夫,A2,16,8,15,1,0.5,0.5,0.9375,0.0625,0.279992,0.716707,0.279992,0.011119,0.720008,0.988881,0.432843,0.185887,2,0.25,4821.2,3010.0,5.399,5.203,,32.312,3.5,宮島 / 常滑 / 芦屋
3792,田中 豪,A2,16,8,15,1,0.5,0.5,0.9375,0.0625,0.279992,0.716707,0.279992,0.011119,0.720008,0.988881,0.432843,0.185887,4,0.5,12476.2,21740.0,6.486,6.01,,33.179,3.125,大村 / 芦屋 / 桐生
4473,藤堂里香,A2,16,8,15,1,0.5,0.5,0.9375,0.0625,0.279992,0.716707,0.279992,0.011119,0.720008,0.988881,0.432843,0.185887,3,0.375,10260.0,23520.0,5.026,4.559,,31.208,2.062,福岡 / 鳴門 / 丸亀
4489,岩川仁士,B1,16,10,12,4,0.625,0.375,0.75,0.25,0.386406,0.505012,0.18481,0.101819,0.81519,0.898181,0.427919,0.155763,2,0.333333,8593.3,11442.5,5.502,5.054,,32.619,3.625,多摩川 / 若松 / 桐生
4241,大串重幸,A2,16,9,13,3,0.5625,0.4375,0.8125,0.1875,0.331782,0.569906,0.230984,0.065915,0.769016,0.934085,0.415126,0.17321,5,0.714286,22255.7,36270.0,5.546,4.973,,27.416,3.25,宮島 / 唐津 / 尼崎
4294,古賀繁輝,A1,16,9,13,3,0.5625,0.4375,0.8125,0.1875,0.331782,0.569906,0.230984,0.065915,0.769016,0.934085,0.415126,0.17321,4,0.571429,36981.4,71373.3,6.721,6.519,,37.894,2.938,唐津 / 芦屋 / 戸田
4978,山田和佐,B1,16,9,13,3,0.5625,0.4375,0.8125,0.1875,0.331782,0.569906,0.230984,0.065915,0.769016,0.934085,0.415126,0.17321,4,0.571429,15812.9,28493.3,4.832,4.358,,37.544,2.75,江戸川 / 大村 / 宮島
5205,刑部亜里,A2,16,9,13,3,0.5625,0.4375,0.8125,0.1875,0.331782,0.569906,0.230984,0.065915,0.769016,0.934085,0.415126,0.17321,3,0.428571,23807.1,23873.3,5.619,5.148,,37.366,1.938,浜名湖 / 丸亀 / 児島
4121,富永修一,A1,16,8,14,2,0.5,0.5,0.875,0.125,0.279992,0.639767,0.279992,0.034977,0.720008,0.965023,0.405913,0.194237,1,0.125,8102.5,9650.0,5.93,6.034,,24.992,2.75,丸亀 / 唐津 / 浜名湖
4161,黒柳浩孝,A2,16,8,14,2,0.5,0.5,0.875,0.125,0.279992,0.639767,0.279992,0.034977,0.720008,0.965023,0.405913,0.194237,2,0.25,8982.5,15780.0,5.357,5.586,,35.079,2.688,びわこ / 江戸川 / 児島
4711,前出達吉,B1,16,8,14,2,0.5,0.5,0.875,0.125,0.279992,0.639767,0.279992,0.034977,0.720008,0.965023,0.405913,0.194237,3,0.375,15990.0,31295.0,5.853,5.159,,28.655,2.125,多摩川 / 福岡 / 徳山
5238,笹木香吾,A2,16,8,14,2,0.5,0.5,0.875,0.125,0.279992,0.639767,0.279992,0.034977,0.720008,0.965023,0.405913,0.194237,1,0.125,6886.2,4505.0,5.735,4.322,,34.688,2.312,徳山 / 児島 / 戸田
4930,佐藤 悠,A2,16,7,15,1,0.4375,0.5625,0.9375,0.0625,0.230984,0.716707,0.331782,0.011119,0.668218,0.988881,0.400987,0.21955,3,0.333333,11221.1,7680.0,5.702,4.626,,30.244,1.438,芦屋 / 三国 / 尼崎
4207,松下一也,A2,16,9,12,4,0.5625,0.4375,0.75,0.25,0.331782,0.505012,0.230984,0.101819,0.769016,0.898181,0.392413,0.185776,5,0.714286,14760.0,19247.5,6.157,5.576,,38.234,2.188,浜名湖 / 常滑 / 尼崎
4269,杉山裕也,A1,16,9,12,4,0.5625,0.4375,0.75,0.25,0.331782,0.505012,0.230984,0.101819,0.769016,0.898181,0.392413,0.185776,4,0.571429,42231.4,70117.5,6.058,6.692,,26.933,1.5,多摩川 / 若松 / 常滑
4014,片岡恵里,A2,16,8,13,3,0.5,0.5,0.8125,0.1875,0.279992,0.569906,0.279992,0.065915,0.720008,0.934085,0.381462,0.205065,2,0.25,6948.8,8890.0,5.479,5.94,,32.987,1.625,徳山 / 下関 / 唐津
3454,井川大作,B1,16,6,15,1,0.375,0.625,0.9375,0.0625,0.18481,0.716707,0.386406,0.011119,0.613594,0.988881,0.370974,0.255056,2,0.2,7397.0,5290.0,5.439,4.497,,31.437,3.625,児島 / 蒲郡 / 丸亀
4124,池田雄一,A1,16,8,12,4,0.5,0.5,0.75,0.25,0.279992,0.505012,0.279992,0.101819,0.720008,0.898181,0.358749,0.217632,3,0.375,15120.0,13460.0,6.067,6.48,,36.692,2.438,蒲郡 / 住之江 / 戸田
3303,渡辺 豊,B1,16,7,13,3,0.4375,0.5625,0.8125,0.1875,0.230984,0.569906,0.331782,0.065915,0.668218,0.934085,0.349607,0.238728,1,0.111111,5587.8,6280.0,5.227,5.938,,29.836,3.875,江戸川 / 丸亀 / 多摩川
4551,三川昂暁,A2,16,5,15,1,0.3125,0.6875,0.9375,0.0625,0.141644,0.716707,0.444039,0.011119,0.555961,0.988881,0.342916,0.292517,5,0.454545,8799.1,11900.0,6.119,5.438,,29.387,2.875,宮島 / 福岡 / 住之江
3455,谷本幸司,B1,16,8,11,5,0.5,0.5,0.6875,0.3125,0.279992,0.444039,0.279992,0.141644,0.720008,0.858356,0.337409,0.231571,3,0.375,29526.2,31630.0,5.226,5.001,,27.994,3.562,蒲郡 / 戸田 / 浜名湖
4260,中越博紀,A2,16,8,11,5,0.5,0.5,0.6875,0.3125,0.279992,0.444039,0.279992,0.141644,0.720008,0.858356,0.337409,0.231571,4,0.5,10195.0,10614.0,5.146,5.552,,32.327,4.0,下関 / 児島 / 桐生
3848,川上聡介,A2,16,6,13,3,0.375,0.625,0.8125,0.1875,0.18481,0.569906,0.386406,0.065915,0.613594,0.934085,0.319594,0.274234,2,0.2,16911.0,51093.3,4.652,4.763,,34.475,4.188,徳山 / 若松 / 桐生
