mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each,period
morning,chaos_top10_per_day,B,430,18.0,72,0.16744186046511628,15,0.03488372093023256,0.16304347826086957,33,0.07674418604651163,0.1875,7900.138888888889,4395.0,44890,0.7348966408268733,valid_after_2026-05-04
morning,chaos_top10_per_day,C,430,12.0,58,0.13488372093023257,9,0.020930232558139535,0.09782608695652174,24,0.05581395348837209,0.13636363636363635,6859.482758620689,4130.0,44890,0.7710271317829457,valid_after_2026-05-04
morning,chaos_top10_per_day,D,430,9.0,46,0.10697674418604651,5,0.011627906976744186,0.05434782608695652,13,0.030232558139534883,0.07386363636363637,5444.782608695652,3215.0,21270,0.6471834625322997,valid_after_2026-05-04
preview,all,A,14761,24.0,5030,0.3407628209470903,546,0.03698936386423684,0.2256198347107438,1268,0.08590203915723867,0.2862948746895462,4701.580516898608,2200.0,237130,0.6675515999367703,train_to_2026-05-04
preview,all,B,14761,18.0,3472,0.23521441636745477,415,0.028114626380326538,0.17148760330578514,927,0.0628006232640065,0.20930232558139536,5093.548387096775,2310.0,237130,0.6655977839501991,train_to_2026-05-04
preview,all,C,14761,12.0,2699,0.18284669060361763,273,0.01849468193211842,0.1128099173553719,624,0.04227355870198496,0.1408895913298713,4588.614301593183,2050,237130,0.6991774495856198,train_to_2026-05-04
preview,all,D,14761,9.0,2230,0.1510737754894655,212,0.014362170584648736,0.08760330578512397,529,0.0358376803739584,0.11944005418830436,4413.914798206278,2155.0,237130,0.7409186369487162,train_to_2026-05-04
preview,skip_excluded,A,10279,24.0,3622,0.3523689074812725,373,0.03628757661251095,0.22442839951865223,890,0.08658429808347115,0.2916120576671035,4521.57923799006,2190.0,142250,0.6638599734085676,train_to_2026-05-04
preview,skip_excluded,B,10279,18.0,2511,0.24428446346920907,287,0.027921003988714856,0.1726835138387485,657,0.06391672341667477,0.2152686762778506,4884.735165272799,2300,142250,0.662924949465469,train_to_2026-05-04
preview,skip_excluded,C,10279,12.0,1925,0.18727502675357524,185,0.01799785971397996,0.11131167268351384,436,0.042416577488082495,0.14285714285714285,4358.218181818182,2010,142250,0.6801545221649318,train_to_2026-05-04
preview,skip_excluded,D,10279,9.0,1595,0.15517073645296234,147,0.014301002043000293,0.08844765342960288,369,0.035898433699776244,0.1209043250327654,4222.796238244514,2110,107140,0.7280604468657781,train_to_2026-05-04
preview,chaos_top5_per_day,A,500,24.0,142,0.284,27,0.054,0.23275862068965517,65,0.13,0.2765957446808511,6314.718309859155,4365.0,38410,0.7472416666666667,train_to_2026-05-04
preview,chaos_top5_per_day,B,500,18.0,95,0.19,21,0.042,0.1810344827586207,48,0.096,0.20425531914893616,7004.315789473684,5060,38410,0.7393444444444445,train_to_2026-05-04
preview,chaos_top5_per_day,C,500,12.0,65,0.13,15,0.03,0.12931034482758622,32,0.064,0.13617021276595745,6623.538461538462,4810,38410,0.71755,train_to_2026-05-04
preview,chaos_top5_per_day,D,500,9.0,72,0.144,14,0.028,0.1206896551724138,30,0.06,0.1276595744680851,6072.638888888889,4165.0,38410,0.9716222222222223,train_to_2026-05-04
preview,chaos_top10_per_day,A,1000,24.0,284,0.284,37,0.037,0.17535545023696683,107,0.107,0.24153498871331827,5281.901408450704,3530.0,38410,0.625025,train_to_2026-05-04
preview,chaos_top10_per_day,B,1000,18.0,194,0.194,28,0.028,0.13270142180094788,82,0.082,0.18510158013544017,5794.072164948454,3980.0,38410,0.6244722222222222,train_to_2026-05-04
preview,chaos_top10_per_day,C,1000,12.0,137,0.137,19,0.019,0.09004739336492891,54,0.054,0.12189616252821671,5191.021897810219,3450,38410,0.5926416666666666,train_to_2026-05-04
preview,chaos_top10_per_day,D,1000,9.0,137,0.137,18,0.018,0.08530805687203792,47,0.047,0.10609480812641084,4962.116788321168,3320,38410,0.7553444444444445,train_to_2026-05-04
preview,all,A,6186,24.0,2077,0.335758163595215,226,0.03653410927901714,0.2189922480620155,509,0.08228257355318461,0.26874340021119325,5073.818006740491,2190,222920,0.7098232568164673,valid_after_2026-05-04
preview,all,B,6186,18.0,1382,0.22340769479469771,168,0.027158098933074686,0.16279069767441862,353,0.05706433882961526,0.1863780359028511,5602.7134587554265,2295.0,222920,0.6953829435643208,valid_after_2026-05-04
preview,all,C,6186,12.0,1099,0.17765923052053023,114,0.01842870999030068,0.11046511627906977,250,0.0404138376980278,0.13199577613516367,4894.522292993631,2110,222920,0.7246308869490247,valid_after_2026-05-04
preview,all,D,6186,9.0,918,0.1483996120271581,75,0.01212415130940834,0.07267441860465117,191,0.030876172001293244,0.10084477296726505,4461.492374727669,2135.0,222920,0.7356485971907892,valid_after_2026-05-04
preview,skip_excluded,A,4335,24.0,1481,0.3416378316032295,154,0.03552479815455594,0.21508379888268156,368,0.08489042675893888,0.2796352583586626,4821.890614449696,2240,222920,0.6863917723952326,valid_after_2026-05-04
