ranking_source,top_k,mode,formation,respect_skip,place_name,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates
strict,10,preview,A,True,丸亀,70,66,27,43,648,64800,106200,41400,163.89,112.22,10,37.04,3,11.11,22,13.64,10620,8385.0,33480,7,16800,26
strict,10,preview,A,True,住之江,3,3,3,0,72,7200,0,-7200,0.0,0.0,0,0.0,0,0.0,1,0.0,,,,3,7200,3
strict,10,preview,A,True,児島,54,53,39,15,936,93600,64780,-28820,69.21,50.94,14,35.9,1,2.56,11,9.09,4627.14,3810.0,17100,7,49800,25
strict,10,preview,A,True,唐津,3,3,0,3,0,0,0,0,,,0,,0,,2,0.0,,,,0,0,3
strict,10,preview,A,True,多摩川,31,31,19,12,456,45600,51080,5480,112.02,59.23,7,36.84,2,10.53,9,22.22,7297.14,1990,24070,10,25370,18
strict,10,preview,A,True,大村,16,16,8,8,192,19200,16020,-3180,83.44,44.84,3,37.5,0,0.0,2,0.0,5340,6680,7410,2,7670,9
strict,10,preview,A,True,宮島,50,50,34,16,816,81600,38000,-43600,46.57,33.2,9,26.47,2,5.88,15,13.33,4222.22,2690,10910,4,43600,21
strict,10,preview,A,True,尼崎,6,4,3,3,72,7200,5070,-2130,70.42,0.0,1,33.33,0,0.0,1,0.0,5070,5070,5070,2,4800,5
strict,10,preview,A,True,常滑,18,18,7,11,168,16800,17380,580,103.45,17.08,3,42.86,1,14.29,3,33.33,5793.33,1890,14510,2,8620,15
strict,10,preview,A,True,平和島,16,16,12,4,288,28800,21330,-7470,74.06,36.11,4,33.33,1,8.33,4,25.0,5332.5,4170.0,10930,3,11670,10
strict,10,preview,A,True,徳山,5,5,4,1,96,9600,13680,4080,142.5,0.0,1,25.0,1,25.0,2,50.0,13680,13680,13680,3,7200,5
strict,10,preview,A,True,戸田,7,7,2,5,48,4800,1000,-3800,20.83,0.0,1,50.0,0,0.0,2,0.0,1000,1000,1000,1,3800,7
strict,10,preview,A,True,桐生,12,12,8,4,192,19200,15790,-3410,82.24,41.46,4,50.0,0,0.0,5,0.0,3947.5,3140.0,7830,2,6440,11
strict,10,preview,A,True,江戸川,19,18,14,5,336,33600,11020,-22580,32.8,23.07,4,28.57,0,0.0,2,0.0,2755,2785.0,3270,4,22580,12
strict,10,preview,A,True,津,5,5,3,2,72,7200,0,-7200,0.0,0.0,0,0.0,0,0.0,4,0.0,,,,3,7200,5
strict,10,preview,A,True,浜名湖,33,32,15,18,360,36000,21580,-14420,59.94,7.22,3,20.0,1,6.67,12,8.33,7193.33,1530,18980,9,28600,21
strict,10,preview,A,True,福岡,3,3,2,1,48,4800,7860,3060,163.75,43.12,2,100.0,0,0.0,1,0.0,3930,3930.0,5790,0,330,3
strict,10,preview,A,True,芦屋,37,36,19,18,456,45600,28090,-17510,61.6,33.36,5,26.32,1,5.26,11,9.09,5618,3670,12880,7,18320,23
