ranking_source,top_k,mode,formation,respect_skip,month,target_races,settled_races,bought_races,skipped_races,total_points,purchase_yen,return_yen,profit_yen,roi_pct,roi_without_max_hit_pct,hit_count,hit_rate_pct,manshu_hit_count,manshu_hit_rate_pct,selected_manshu_races,manshu_capture_rate_pct,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,max_losing_streak,max_drawdown_yen,sample_dates
all,1,morning,D,False,2026-05,31,31,31,0,279,27900,19240,-8660,68.96,42.4,6,19.35,0,0.0,12,0.0,3206.67,2820.0,7410,9,12470,31
all,1,morning,D,False,2026-06,25,24,15,10,135,13500,2870,-10630,21.26,7.26,2,13.33,0,0.0,11,0.0,1435,1435.0,1890,7,10630,25
all,1,morning,D,True,2026-05,31,31,20,11,180,18000,12420,-5580,69.0,27.83,3,15.0,0,0.0,12,0.0,4140,4010,7410,8,9390,31
all,1,morning,D,True,2026-06,25,24,11,14,99,9900,980,-8920,9.9,0.0,1,9.09,0,0.0,11,0.0,980,980,980,9,8920,25
all,1,preview,A,False,2026-05,31,31,31,0,744,74400,81230,6830,109.18,64.18,11,35.48,3,9.68,12,25.0,7384.55,3370,33480,8,19710,31
all,1,preview,A,False,2026-06,25,24,15,10,360,36000,23390,-12610,64.97,33.92,6,40.0,1,6.67,11,9.09,3898.33,1980.0,11180,3,14340,25
all,1,preview,A,True,2026-05,31,31,20,11,480,48000,75560,27560,157.42,87.67,8,40.0,3,15.0,12,25.0,9445,5710.0,33480,4,9600,31
all,1,preview,A,True,2026-06,25,24,11,14,264,26400,20020,-6380,75.83,33.48,4,36.36,1,9.09,11,9.09,5005,3930.0,11180,2,11020,25
all,1,preview,B,False,2026-05,31,31,31,0,558,55800,65140,9340,116.74,56.74,6,19.35,3,9.68,12,25.0,10856.67,7150.0,33480,12,21600,31
all,1,preview,B,False,2026-06,25,24,15,10,270,27000,14050,-12950,52.04,10.63,3,20.0,1,6.67,11,9.09,4683.33,1890,11180,4,12950,25
all,1,preview,B,True,2026-05,31,31,20,11,360,36000,61460,25460,170.72,77.72,4,20.0,3,15.0,12,25.0,15365,12305.0,33480,6,10800,31
all,1,preview,B,True,2026-06,25,24,11,14,198,19800,12160,-7640,61.41,4.95,2,18.18,1,9.09,11,9.09,6080,6080.0,11180,5,9000,25
all,1,preview,C,False,2026-05,31,31,31,0,372,37200,31660,-5540,85.11,48.33,5,16.13,2,6.45,12,16.67,6332,3370,13680,12,14400,31
all,1,preview,C,False,2026-06,25,24,15,10,180,18000,2870,-15130,15.94,5.44,2,13.33,0,0.0,11,0.0,1435,1435.0,1890,7,15130,25
all,1,preview,C,True,2026-05,31,31,20,11,240,24000,27980,3980,116.58,59.58,3,15.0,2,10.0,12,16.67,9326.67,10930,13680,9,10800,31
all,1,preview,C,True,2026-06,25,24,11,14,132,13200,980,-12220,7.42,0.0,1,9.09,0,0.0,11,0.0,980,980,980,8,12220,25
all,1,preview,D,False,2026-05,31,31,31,0,279,27900,22570,-5330,80.9,41.72,5,16.13,1,3.23,12,8.33,4514,3370,10930,13,11700,31
all,1,preview,D,False,2026-06,25,24,15,10,135,13500,4940,-8560,36.59,21.26,3,20.0,0,0.0,11,0.0,1646.67,1890,2070,7,8560,25
