condition_count,condition,atom_ids,races,manshu_races,manshu_rate_pct,lift_vs_all,recent_races_2025_plus,recent_manshu_races_2025_plus,recent_manshu_rate_pct,avg_payout_yen,b1_fly_pct,outer56_top3_pct,rank6_top3_pct,winner_3to6_pct,score
5,1号艇AI+順位4位以下 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 前半1〜6R × 1〜3R,"b1_aiplus_rank_ge4,outer56_ai_pred_ge12,wind_wave_ge5,front_1_6r,round_1_3",219,62,28.31,1.684,85,30,35.29,9601,57.99,77.63,18.72,55.25,35.7228
5,1号艇逃げ失敗40%以上 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × 前半1〜6R,"b1_loss_ge40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,front_1_6r",327,93,28.44,1.691,190,53,27.89,9127,41.28,80.12,27.52,54.13,35.7118
5,1号艇逃げ失敗40%以上 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位が展示2位以内 × AI+5位平均との差0.10以上,"b1_loss_ge40,b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_tenji_top2,rank5_avgdiff_ge010",240,68,28.33,1.685,143,46,32.17,9690,50.83,75.83,17.92,55.0,35.6494
5,1号艇逃げ失敗45%以上 × 5/6号艇に1周2位以内 × 5/6号艇AI予測最大12%以上 × AI+5位が展示2位以内 × 1〜3R,"b1_loss_ge45,outer56_isshu_top2,outer56_ai_pred_ge12,rank5_tenji_top2,round_1_3",237,74,31.22,1.857,148,42,28.38,9014,38.82,78.06,17.72,50.21,35.4802
5,1号艇逃げ率45%未満 × 5/6号艇に1周2位以内 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_nige_lt45,outer56_isshu_top2,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",226,63,27.88,1.658,127,39,30.71,8949,36.28,81.42,15.49,51.77,35.3362
5,1号艇逃げ率45%未満 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × 1〜3R,"b1_nige_lt45,b1_ai_pred_lt30,outer56_ai_pred_ge12,rank6_avgdiff_ge010,round_1_3",290,79,27.24,1.62,179,52,29.05,9903,52.07,82.41,27.24,56.21,35.3197
5,1号艇逃げ率45%未満 × 1号艇展示4位以下 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × 1〜3R,"b1_nige_lt45,b1_tenji_ge4,outer56_ai_pred_ge12,rank6_avgdiff_ge010,round_1_3",272,78,28.68,1.705,163,46,28.22,11106,37.5,77.57,22.06,48.9,35.28
7,1号艇逃げ失敗40%以上 × 1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内 × AI+最下位が3〜6号艇 × 前半1〜6R,"b1_loss_ge40,b1_nige_lt40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2,rank6_boat_36,front_1_6r",241,68,28.22,1.678,141,42,29.79,9356,41.49,76.76,25.31,50.62,35.2591
5,1号艇逃げ失敗40%以上 × 1号艇AI予測30%未満 × 5/6号艇AI予測最大12%以上 × 風または波5以上 × 1〜3R,"b1_loss_ge40,b1_ai_pred_lt30,outer56_ai_pred_ge12,wind_wave_ge5,round_1_3",479,129,26.93,1.602,174,57,32.76,9235,49.9,80.17,19.21,56.58,35.2287
5,1号艇逃げ失敗40%以上 × 1号艇逃げ率40%未満 × 5/6号艇AI予測最大12%以上 × AI+最下位平均との差0.10以上 × AI+最下位が展示2位以内,"b1_loss_ge40,b1_nige_lt40,outer56_ai_pred_ge12,rank6_avgdiff_ge010,rank6_tenji_top2",381,105,27.56,1.639,220,62,28.18,9230,44.09,80.05,27.56,50.92,35.2263
